"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"151","42_vk","stripped",2355.4,633,5060,8.26119,6,8.20935257323753,1591.36071441226,4609.63546254258
"152","42_vk","stripped",2019.4,2415.3,4911,11.2824252,7,9.39145347169215,1905.40397174796,4767.32953554542
"153","42_vk","stripped",2641,2641.1,4265,7.9307424,8,8.82911516137586,2186.14696754938,4504.4677518651
"154","44_tumblr","stripped",590.3,591,1072,4.0440492,0,3.83719832731791,360.869445726834,657.228593193406
"155","44_tumblr","stripped",563.7,563.9,1019,3.5719812,1,3.68272029762674,425.631459915134,785.206112706843
"156","44_tumblr","stripped",578,578.1,1084,3.634092,2,3.65229908157395,492.794339603178,926.83407949738
"157","44_tumblr","stripped",606.2,606.3,1134,3.980196,3,3.85937796322212,546.837051600354,1031.51278459397
"158","44_tumblr","stripped",588.6,588.7,1116,4.005234,4,3.95160894038664,567.170734808847,1074.8404001631
"159","44_tumblr","stripped",558.3,558.5,1029,4.4699328,5,4.27942362264375,562.937283116828,1051.25030335908
"160","44_tumblr","stripped",596,596.1,1201,4.012578,6,4.11065279255198,579.150755149534,1128.37640517112
"161","44_tumblr","stripped",569.5,569.5,1098,3.9653712,7,4.0187668107635,574.430772203197,1112.7285423011
"162","44_tumblr","stripped",569,569,1085,4.012578,8,4.01485258333452,571.774450320793,1098.44403529754
"163","48_mozilla","stripped",559.7,602.9,1002,4.0482,0,4.33242737489801,616.412118373322,1051.02302753342
"164","48_mozilla","stripped",746.3,746.4,2536,6.780492,1,6.10699590785021,668.816218217672,2247.61063243059
"165","48_mozilla","stripped",4181.1,4181.1,4296,6.9393996,2,6.74022282747194,2491.36247859337,3952.02206255804
"166","48_mozilla","stripped",1754.7,1754.8,2197,4.6262664,3,5.12779158961231,2090.46201712288,2490.41910874598
"167","48_mozilla","stripped",476.1,476.2,870,3.7608084,4,4.0849616249086,1203.43121674496,1140.88166063918
"168","48_mozilla","stripped",613.4,613.5,969,3.9811068,5,4.00573326439601,878.643894608984,997.732954905176
"169","48_mozilla","stripped",552.4,552.5,1099,3.964464,6,3.97424991529472,699.015518627981,1082.07148564312
"170","48_mozilla","stripped",465,638.1,1009,3.8080152,7,3.84743336572578,665.462814285116,1021.21514550266
"171","48_mozilla","stripped",468.2,468.2,989,3.586896,8,3.6486755446167,556.807331201217,994.385311195079
"172","48_mozilla","stripped",607.4,607.5,961,4.0755204,9,3.97430543336,584.729744941007,966.580924354813
"173","49_msn","stripped",720.6,720.6,805,4.908384,0,3.97329309380038,394.9896396078,442.625060199795
