Website,Treatment,FP,FCP,LT,Joules,Trial
48_mozilla,prefixed,707.8,768.2,977.0,3.6322848000000003,1
48_mozilla,prefixed,553.6,553.6,934.0,4.437439199999999,2
48_mozilla,prefixed,766.7,766.7,1164.0,3.8080152,3
48_mozilla,prefixed,683.9,684.1,971.0,3.5614080000000006,4
48_mozilla,prefixed,589.8,736.1,968.0,4.012578,5
48_mozilla,prefixed,537.2,704.7,985.0,4.106052,6
48_mozilla,prefixed,533.3,682.4,966.0,3.7293371999999994,7
48_mozilla,prefixed,1015.8,1015.8,1286.0,4.106052,8
48_mozilla,prefixed,515.8,677.0,972.0,3.9089736,9
49_msn,prefixed,537.7,537.8,523.0,3.5082359999999997,0
49_msn,prefixed,529.5,529.5,560.0,3.23982,1
49_msn,prefixed,575.2,575.3,660.0,6.953544,2
49_msn,prefixed,672.0,672.1,596.0,2.911086,3
49_msn,prefixed,516.5,516.5,578.0,3.0527064,4
49_msn,prefixed,557.2,557.3,543.0,3.3831539999999998,5
49_msn,prefixed,547.3,547.3,580.0,3.225798,6
49_msn,prefixed,529.1,529.2,514.0,2.9589696,7
49_msn,prefixed,564.5,564.5,550.0,2.996352,8
4_microsoft,prefixed,1075.8,1075.9,6631.0,11.245806,0
4_microsoft,prefixed,790.4,790.5,1419.0,4.2800832,1
4_microsoft,prefixed,687.2,687.3,1382.0,4.232876399999999,2
4_microsoft,prefixed,662.5,662.6,1264.0,4.217140800000001,3
4_microsoft,prefixed,696.1,696.2,1243.0,4.531852799999999,4
4_microsoft,prefixed,646.7,646.7,1236.0,3.9428532,5
4_microsoft,prefixed,700.4,700.5,1294.0,4.593744,6
4_microsoft,prefixed,708.5,708.6,1339.0,4.231908,7
4_microsoft,prefixed,990.2,990.3,1607.0,4.642002,8
4_microsoft,prefixed,676.9,676.9,1407.0,4.2014052,9
50_google,prefixed,2604.1,2604.1,3897.0,8.1473112,0
50_google,prefixed,613.2,613.3,1738.0,5.785343999999999,1
50_google,prefixed,568.9,569.0,1272.0,4.7678868,2
50_google,prefixed,1167.7,1167.8,1821.0,9.706644,3
50_google,prefixed,567.7,567.9,1254.0,3.9472272,4
50_google,prefixed,534.1,534.2,1314.0,3.7293371999999994,5
50_google,prefixed,605.3,605.4,1220.0,3.9811068000000005,6
50_google,prefixed,518.1,518.1,1204.0,4.106991600000001,7
50_google,prefixed,840.4,840.5,1376.0,3.9653712,8
52_nytimes,prefixed,706.1,730.2,3915.0,18.572256,0
52_nytimes,prefixed,764.6,867.9,3980.0,6.780492,1
52_nytimes,prefixed,708.7,793.9,3556.0,6.5800187999999995,2
52_nytimes,prefixed,843.3,843.5,3403.0,6.591708,3
52_nytimes,prefixed,659.7,714.2,3486.0,6.829250399999999,4
52_nytimes,prefixed,647.9,706.1,3458.0,6.951441600000001,5
